60,3,37032
34,0,146604
66,2,21030
45,2,31736
56,2,135091
27,3,125393
71,3,92676
22,1,42550
47,0,36671
57,1,99549
26,2,116729
31,0,111674
68,3,79285
54,1,132419
70,3,28084
38,0,70053
62,0,22656
23,2,26040
23,3,56392
58,0,135884
40,4,88923
38,0,20682
76,2,24669
35,2,142948
40,1,146048
79,1,32668
27,4,99718
75,1,113081
28,0,114301
31,4,68825
64,2,27302
44,0,63385
48,0,111785
38,2,25966
56,2,61346
35,4,131347
66,3,116737
33,0,104399
72,0,101069
55,4,107651
75,2,70403
64,3,67335
78,4,41476
67,3,84620
41,4,47938
57,4,64815
56,4,112614
50,2,64510
47,3,27250
57,3,107431
70,3,90652
24,4,141397
61,1,142122
54,0,46226
23,4,92747
75,0,86046
22,1,47689
79,0,94314
41,4,41147
44,1,27232
37,3,92486
46,3,120004
56,2,30174
21,0,108487
53,2,141726
31,4,142687
27,0,115373
58,0,110136
53,0,105660
64,4,110672
55,4,98887
59,0,108831
58,1,55989
32,2,100761
37,3,87609
44,0,142096
47,3,149953
40,0,146862
51,0,102788
65,4,128040
31,2,48391
20,0,27638
39,3,135519
48,2,84064
59,4,145398
57,1,112538
76,1,66940
36,1,80214
79,0,114672
36,3,144563
76,3,97201
54,4,53908
68,0,35830
18,1,69172
46,4,124634
74,3,21467
34,1,135343
59,0,53373
74,2,141533
43,1,149232
54,1,147469
55,2,68529
55,3,52114
48,4,69438
32,0,85126
53,2,92179
25,2,43841
33,0,70558
24,1,114978
32,0,146005
24,1,100845
25,0,129915
47,2,92411
37,0,107651
33,2,140538
36,0,83585
38,2,117015
73,3,139229
35,3,33582
59,2,66558
72,1,57463
23,2,95901
27,0,51607
60,0,98150
65,0,134666
61,1,72211
51,1,73632
20,1,21309
68,0,29988
27,0,113455
43,1,94142
43,2,40496
27,1,73388
31,4,77061
39,4,123387
37,0,115597
25,1,39914
75,0,103478
80,4,32420
69,2,64125
74,1,68417
36,3,127294
29,1,38048
25,0,63339
74,2,57452
63,1,86094
51,1,93171
28,1,133196
50,1,98277
27,4,125724
32,3,41351
39,0,54752
42,3,107489
61,3,33070
18,2,93486
26,0,98677
33,3,84865
53,2,128850
46,2,39666
53,1,127988
47,3,82501
45,1,134899
44,3,136912
39,3,50322
67,0,120421
23,2,114002
73,2,29491
40,2,120810
76,1,57546
77,1,81786
27,2,144249
71,2,62586
71,1,29668
75,2,96393
46,0,61786
61,1,85583
36,4,136089
72,1,60335
44,4,23305
43,3,81078
19,3,99867
63,2,98863
74,4,109361
29,2,41322
66,3,47138
54,3,118265
42,2,96853
41,0,50455
64,0,95443
65,0,52231
76,3,95643
47,4,39710
73,4,74340
68,4,143800
72,4,134656
56,0,41062
48,1,121638
62,2,30326
54,3,107330
18,2,119844
77,3,90404
32,3,82276
40,4,128652
58,3,142181
29,3,127062
66,4,101749
56,2,76787
27,1,99571
47,1,148251
64,1,57278
57,1,58920
40,4,95551
22,0,23803
50,4,57273
54,3,58388
43,4,36651
24,4,22869
31,4,27998
49,3,77992
25,2,97418
50,3,117836
26,2,98800
19,3,95410
56,4,40754
48,0,130602
50,3,100157
53,0,88377
69,4,55899
55,0,123160
32,3,29970
62,1,34734
52,0,88985
43,2,94467
27,2,41240
65,4,41723
42,2,137444
72,4,149749
40,4,145277
25,1,89836
66,4,36115
20,3,134543
42,1,46187
23,0,144749
40,2,106389
51,0,118540
25,4,32061
33,2,81634
25,2,94644
34,2,142607
54,3,63650
20,1,58115
51,0,51660
78,0,131928
49,2,61003
34,1,107432
60,2,34140
42,0,66155
79,1,143322
25,2,110881
75,1,75859
26,4,79204
18,4,124656
66,2,79858
69,2,26121
55,4,48919
23,3,111519
48,3,123528
46,2,113788
69,2,134549
60,3,58404
67,3,28362
69,0,135564
76,4,41303
65,4,54741
69,4,102798
49,2,139221
79,1,63687
58,1,63984
79,0,122102
59,4,24496
20,4,70334
78,4,55917
38,4,81463
78,0,101960
23,3,144070
56,2,63412
37,3,89930
63,1,65279
38,0,106750
62,4,59716
33,0,70076
70,1,145422
79,2,69969
67,1,124530
69,1,41035
71,4,135557
61,2,32781
43,0,98351
25,4,64903
32,0,64711
69,4,25467
76,2,43684
76,0,77900
42,0,132564
29,4,113029
44,1,108177
45,1,89414
42,3,38171
20,1,38837
76,3,137813
76,4,123471
33,1,88709
63,3,67489
47,1,98737
73,0,79284
26,0,104059
54,0,134503
56,1,140355
28,1,22927
42,4,118372
