id,timestamp,built,price,distanceToElem,bedrooms,bathrooms
894c49a6-fc05-463f-bedc-11e1d476546c,2021-08-02T09:04:45Z,1976,201244.25,0.62,4,2
c59b63c0-3f74-4025-91b9-f91bb6b528c1,2020-09-22T09:04:45Z,2001,204063.24,7.26,6,1
8295b15f-21ef-465f-9d1b-333b4e619997,2021-03-12T09:04:45Z,1992,189017.98,7.92,5,1
09515737-14bb-42da-9974-1a7e986e8231,2020-10-02T09:04:45Z,1989,199067.66,6.26,6,1
04d4491d-af3e-4825-8276-4c4fb3552caf,2022-09-01T09:04:45Z,1946,200688.69,4.52,5,3
223486aa-12dc-4c37-ac99-7f0f94563505,2024-04-22T09:04:45Z,2011,182178.63,3.55,5,1
be9ad3c9-61dc-4885-ab15-e9142ac9e246,2024-06-22T09:04:45Z,1987,148172.24,3.53,2,2
9666564f-b3b4-4753-8988-5ee420da4942,2022-03-29T09:04:45Z,1953,189599.83,6.74,3,4
71fe869d-ea57-46a6-9787-3bc5ba47044e,2022-11-16T09:04:45Z,1981,204791.05,6.41,6,1
a3c424e3-6796-4fd9-91e3-8347c5a34917,2024-01-06T09:04:45Z,1945,161901.71,0.69,2,2
85bb37a9-eff5-481d-a03f-0e877776e403,2022-10-02T09:04:45Z,2005,123605.35,1.61,1,1
16298764-bbd3-42ea-a63e-11062538b133,2020-06-07T09:04:45Z,1966,142747.87,2.11,2,1
db36a51e-0854-43fc-8cac-99d259cfb6fe,2024-01-30T09:04:45Z,1957,187811.25,1.39,4,3
d9502c55-352e-4b2b-b237-5cab15a13653,2022-06-29T09:04:45Z,2014,170215.16,0.27,3,1
4299cda5-9f0e-416f-909e-827911942f98,2024-06-26T09:04:45Z,1969,175679.0,2.38,4,2
ab2170c2-6560-4c4f-98fc-1eb1dc777b57,2020-12-26T09:04:45Z,1980,200309.28,9.33,5,3
44cf3cc4-8fcd-4027-9bf5-96270716161c,2021-03-04T09:04:45Z,1952,151731.28,9.86,1,4
c00483a5-1a00-480b-b5b7-866c55553b20,2022-07-28T09:04:45Z,1951,139611.38,8.72,1,2
31e35ca7-a841-407e-9d3c-20e16eea87ed,2022-10-26T09:04:45Z,1999,139984.8,1.79,1,2
453bdc45-e618-4c00-a522-29662fb8ba2a,2021-06-19T09:04:45Z,1993,165939.84,9.22,4,1
9bd7e078-c335-4bab-9a5a-3aa8ad9e7e7e,2023-03-04T09:04:45Z,1947,137222.73,4.67,2,1
875d0578-ef8d-46b1-930e-d8264c8ad6d4,2025-01-14T09:04:45Z,1958,165596.98,8.47,2,4
43d905ac-9bf8-4048-8786-cb69ecdfcf83,2024-07-14T09:04:45Z,1986,131596.08,3.31,1,2
353634b3-bd5e-48ec-bb7f-d26930323ed1,2020-06-05T09:04:45Z,2013,179087.43,1.85,4,2
051bc609-ba3c-4a27-8b20-7c2c0a90677b,2023-08-01T09:04:45Z,1962,172409.03,6.13,3,3
09f66964-beaa-4bf5-a856-b489781974d7,2021-09-29T09:04:45Z,1987,171226.52,5.03,2,4
3c0e1fd4-7905-4671-9145-1029e21151c5,2022-07-25T09:04:45Z,1950,196131.38,4.51,6,1
594bbbe4-ba05-450c-9955-b56ca64e24d3,2021-11-20T09:04:45Z,2015,167703.0,7.1,3,2
5e6342ec-7154-4ae8-8150-18e55a7d0d70,2020-05-04T09:04:45Z,2014,162373.32,3.18,3,2
a5df33e8-1303-43c0-be4c-bb366146e624,2024-12-17T09:04:45Z,1995,200612.32,7.39,6,1
092e1826-7999-4dcc-95e6-8eaa9576b9fb,2021-12-29T09:04:45Z,1983,179862.18,1.99,4,2
08bf23f2-1664-4929-87c3-9d38bf9c8f7e,2020-04-09T09:04:45Z,1956,184009.5,9.87,4,2
0369c966-264a-4fd1-baea-0e43c758ae19,2023-01-17T09:04:45Z,2015,120461.84,7.07,1,1
c3e96931-70ae-403a-990e-cbe3f50e6d5a,2020-04-08T09:04:45Z,1968,158948.98,9.71,1,4
42b95d1a-b0d8-4613-a9e6-7572d604f3c4,2024-10-19T09:04:45Z,1994,226377.73,7.36,6,4
18c48a31-9fcd-465d-ae6b-e4655692c2d3,2023-05-29T09:04:45Z,1999,178575.6,6.18,3,3
1a1efa41-449c-4307-9690-47da5445884e,2025-02-20T09:04:45Z,1953,153753.1,3.48,2,2
adac2175-87e3-431d-8c74-d96665ea8693,2022-08-08T09:04:45Z,1990,156277.72,2.66,1,4
c26bda97-2ded-46e5-8f99-14e8fd121304,2024-01-07T09:04:45Z,1990,203705.39,2.39,4,4
5b517a57-8016-4eec-8e41-b2a65e078c83,2021-09-18T09:04:45Z,1953,171184.19,0.43,3,1
3ab7d9c7-c290-4998-bf83-05093e2b616d,2021-06-10T09:04:45Z,2008,221149.0,2.07,6,3
a0fbd335-0c3b-44e4-8471-f9f3b720c536,2020-09-28T09:04:45Z,1964,198377.72,9.23,5,2
37d6f010-a353-4d76-b063-fffad395ecb4,2021-05-26T09:04:45Z,1965,202256.71,0.75,5,1
01574034-3f8b-4e85-a723-21d2718a3a06,2022-07-16T09:04:45Z,1959,171204.61,9.06,3,3
68f3cb32-2408-4df0-b762-a6342f97e2bf,2024-10-01T09:04:45Z,1960,221229.28,2.77,6,3
a3a6f589-96dc-413d-b8db-424a13807a73,2023-08-26T09:04:45Z,2008,198653.89,1.54,4,4
19681130-8d0e-48d6-91a7-86da3e4f559b,2020-04-05T09:04:45Z,2003,228582.57,4.31,6,4
3d9e63a1-d682-4b8c-8bc4-530f7a1c99e9,2022-10-22T09:04:45Z,1988,148324.45,3.51,2,2
f64318a8-b13b-4798-993b-b0b100d08fcd,2021-04-05T09:04:45Z,1966,200199.41,1.95,5,3
7ddacff2-e887-47d3-92b4-5d16c4880d38,2024-03-26T09:04:45Z,1986,229801.51,0.99,5,3
220ade91-8027-490d-b7fd-560419ca93ed,2024-05-13T09:04:45Z,2007,182366.12,6.85,4,2
0e5b0f11-df50-407d-9da5-076c9da0892e,2021-11-09T09:04:45Z,1986,183741.18,3.82,4,2
3a1d54ce-8cc6-41e1-8665-d577c65243df,2024-06-09T09:04:45Z,1958,121585.71,6.63,1,1
e7efad9e-3c04-439b-bfc4-30d8fa30fe66,2022-11-17T09:04:45Z,1994,122164.21,6.78,1,1
399ed99b-dc82-4084-b27a-2acbd871c6e2,2021-07-11T09:04:45Z,1955,164117.51,1.99,3,2
cf26fc19-17f7-4f04-924e-3a97a162da26,2022-06-09T09:04:45Z,1968,205619.95,5.64,6,2
e6669aa8-2842-431b-8f3b-7d3b148a27fd,2021-12-26T09:04:45Z,2001,215707.33,4.33,5,4
48f1ff79-76ef-40ca-be7d-4181b7ac2c20,2024-08-24T09:04:45Z,1984,173069.11,5.5,3,3
