CustomerID,Age,Gender,EducationLevel,Income,LoanApproved
CUST00001,37,Male,Associate Degree,112082.81,True
CUST00002,25,Unspecified,Bachelor's Degree,138122.07,True
CUST00003,20,Unspecified,PhD,120304.19,True
CUST00004,55,Unspecified,PhD,117455.69,True
CUST00005,61,Male,Associate Degree,110218.11,True
CUST00006,26,Female,Associate Degree,99429.02,False
CUST00007,61,Male,Master's Degree,69091.99,False
CUST00008,72,Male,Associate Degree,42952.55,False
CUST00009,52,Unspecified,Master's Degree,25025.15,False
CUST00010,76,Female,Bachelor's Degree,90207.1,False
CUST00011,69,Male,High School,50444.73,False
CUST00012,43,Male,Associate Degree,24752.59,False
CUST00013,35,Unspecified,High School,41113.19,False
CUST00014,58,Unspecified,Bachelor's Degree,80081.61,True
CUST00015,31,Unspecified,Associate Degree,88073.66,True
CUST00016,51,Male,High School,101794.73,True
CUST00017,33,Male,Associate Degree,97778.23,False
CUST00018,44,Female,Master's Degree,100318.36,True
CUST00019,36,Male,PhD,74826.79,True
CUST00020,69,Female,Bachelor's Degree,34130.81,True
CUST00021,29,Female,Associate Degree,92848.09,False
CUST00022,79,Male,PhD,38941.05,True
CUST00023,77,Male,High School,145496.7,True
CUST00024,36,Male,Associate Degree,54406.06,False
CUST00025,29,Female,High School,28767.16,True
CUST00026,76,Male,Bachelor's Degree,59173.5,True
CUST00027,70,Female,High School,24615.53,False
CUST00028,61,Unspecified,Master's Degree,131942.68,True
CUST00029,43,Male,High School,137913.23,True
CUST00030,21,Male,High School,48330.02,True
CUST00031,26,Unspecified,PhD,148225.94,True
CUST00032,27,Male,Associate Degree,104540.66,True
CUST00033,52,Female,Associate Degree,66059.81,False
CUST00034,51,Male,High School,42757.62,False
CUST00035,43,Male,High School,81480.31,True
CUST00036,33,Unspecified,PhD,117026.59,True
CUST00037,66,Male,High School,107334.43,False
CUST00038,64,Female,PhD,106039.86,True
CUST00039,76,Female,Associate Degree,109775.82,True
CUST00040,58,Unspecified,Master's Degree,86355.65,False
CUST00041,36,Female,Associate Degree,58147.76,True
CUST00042,45,Male,PhD,62208.94,True
CUST00043,40,Female,Master's Degree,101652.51,False
CUST00044,79,Female,PhD,90095.4,True
CUST00045,77,Male,Master's Degree,36588.5,False
CUST00046,73,Unspecified,PhD,125313.98,True
CUST00047,23,Male,Bachelor's Degree,137154.74,True
CUST00048,42,Female,Master's Degree,36300.38,False
CUST00049,66,Female,Associate Degree,142075.4,True
CUST00050,46,Female,Bachelor's Degree,90053.97,False
CUST00051,33,Unspecified,Bachelor's Degree,77930.62,False
CUST00052,50,Unspecified,High School,103980.63,True
CUST00053,20,Female,High School,37002.85,False
CUST00054,52,Male,Bachelor's Degree,148350.0,True
CUST00055,31,Female,Associate Degree,122001.73,True
CUST00056,71,Male,High School,98988.64,False
CUST00057,76,Unspecified,Associate Degree,39986.66,True
CUST00058,25,Male,Associate Degree,126322.69,True
CUST00059,26,Female,PhD,58917.1,False
CUST00060,55,Unspecified,PhD,36137.19,True
CUST00061,37,Female,Bachelor's Degree,131074.44,True
CUST00062,34,Female,PhD,86909.28,True
CUST00063,61,Female,High School,44809.34,True
CUST00064,38,Female,Associate Degree,146825.99,True
CUST00065,57,Female,PhD,20599.05,True
CUST00066,76,Unspecified,High School,20417.21,False
CUST00067,72,Male,High School,55311.11,False
CUST00068,68,Female,Associate Degree,69342.23,True
CUST00069,73,Female,Associate Degree,118952.09,True
CUST00070,67,Female,Master's Degree,43895.2,False
CUST00071,65,Unspecified,PhD,25088.23,False
